ItemCode	Brand	PartNo	Description	DLNr	ArtNr
01.095*1200	CONTITECH	01.095*1200	ΙΜΑΝΤΕΣ  9.5 * 1200LA  "SPZ1187" CONTI		
01.095*1215	CONTITECH	01.095*1215	ΙΜΑΝΤΕΣ  9.5 * 1215LA  "SPZ1202" CONTI		
01.095*1225	CONTITECH	01.095*1225	ΙΜΑΝΤΕΣ  9.5 * 1225LA  "SPZ1212" CONTI		
01.095*1250	CONTITECH	01.095*1250	ΙΜΑΝΤΕΣ  9.5 * 1250LA  "SPZ1237" CONTI		
01.095*1263	CONTITECH	01.095*1263	ΙΜΑΝΤΕΣ  9.5 * 1263LA  "SPZ1250" CONTI		
01.095*1275	CONTITECH	01.095*1275	ΙΜΑΝΤΕΣ  9.5 * 1275LA  "SPZ1262" CONTI		
01.095*1300	CONTITECH	01.095*1300	ΙΜΑΝΤΕΣ  9.5 * 1300LA  "SPZ1287" CONTI		
01.095*1325	CONTITECH	01.095*1325	ΙΜΑΝΤΕΣ  9.5 * 1325LA  "SPZ1312" CONTI		
01.095*1333	CONTITECH	01.095*1333	ΙΜΑΝΤΕΣ  9.5 * 1333LA  "SPZ1320" CONTI		
01.095*1350	CONTITECH	01.095*1350	ΙΜΑΝΤΕΣ  9.5 * 1350LA  "SPZ1337" CONTI		
01.095*1375	CONTITECH	01.095*1375	ΙΜΑΝΤΕΣ  9.5 * 1375LA  "SPZ1362" CONTI		
01.095*1400	CONTITECH	01.095*1400	ΙΜΑΝΤΕΣ  9.5 * 1400LA  "SPZ1387" CONTI		
01.095*1413	CONTITECH	01.095*1413	ΙΜΑΝΤΕΣ  9.5 * 1413LA  "SPZ1400" CONTI		
01.095*1425	CONTITECH	01.095*1425	ΙΜΑΝΤΕΣ  9.5 * 1425LA  "SPZ1412" CONTI		
01.095*1450	CONTITECH	01.095*1450	ΙΜΑΝΤΕΣ  9.5 * 1450LA  "SPZ1437" CONTI		
01.095*1475	CONTITECH	01.095*1475	ΙΜΑΝΤΕΣ  9.5 * 1475LA  "SPZ1462" CONTI		
01.095*1500	CONTITECH	01.095*1500	ΙΜΑΝΤΕΣ  9.5 * 1500LA  "SPZ1487" CONTI		
01.095*1513	CONTITECH	01.095*1513	ΙΜΑΝΤΕΣ  9.5 * 1513LA  "SPZ1500" CONTI		
01.095*1525	CONTITECH	01.095*1525	ΙΜΑΝΤΕΣ  9.5 * 1525LA  "SPZ1512" CONTI		
01.095*1550	CONTITECH	01.095*1550	ΙΜΑΝΤΕΣ  9.5 * 1550LA  "SPZ1537" CONTI		
01.095*1575	CONTITECH	01.095*1575	ΙΜΑΝΤΕΣ  9.5 * 1575LA  "SPZ1562" CONTI		
01.095*1600	CONTITECH	01.095*1600	ΙΜΑΝΤΕΣ  9.5 * 1600LA  "SPZ1587" CONTI		
01.095*1613	CONTITECH	01.095*1613	ΙΜΑΝΤΕΣ  9.5 * 1613LA  "SPZ1600" CONTI		
01.095*1625	CONTITECH	01.095*1625	ΙΜΑΝΤΕΣ  9.5 * 1625LA  "SPZ1612" CONTI		
01.095*1650	CONTITECH	01.095*1650	ΙΜΑΝΤΕΣ  9.5 * 1650LA  "SPZ1637" CONTI		
01.095*1663	CONTITECH	01.095*1663	ΙΜΑΝΤΕΣ  9.5 * 1663LA  "SPZ1650" CONTI		
01.095*1675	CONTITECH	01.095*1675	ΙΜΑΝΤΕΣ  9.5 * 1675LA  "SPZ1662" CONTI		
01.095*1700	CONTITECH	01.095*1700	ΙΜΑΝΤΕΣ  9.5 * 1700LA  "SPZ1687" CONTI		
01.095*1713	CONTITECH	01.095*1713	ΙΜΑΝΤΕΣ  9.5 * 1713LA  "SPZ1700" CONTI		
