ItemCode	Brand	PartNo	Description	DLNr	ArtNr
01209	FEBI	01209	FEBI ΜΠΑΛΑΚΙ ΨΑΛΙΔΙΟΥ ΕΜΠΡ. ΑΝΩ-ΚΑΤΩ MERCEDES	101	01209
01211	FEBI	01211	FEBI ΤΑΠΑ ΨΥΓΕΙΟΥ OPEL	101	01211
01213	FEBI	01213	FEBI ΤΑΠΑ ΛΑΔΙΟΥ OPEL	101	01213
01214	FEBI	01214	FEBI ΠΑΞΙΜΑΔΙ ΤΡΟΧΟΥ VAG	101	01214
01216	FEBI	01216	FEBI ΒΑΛΒΙΔΑ ΛΑΔΙΟΥ MERCEDES	101	01216
01217	FEBI	01217	FEBI (*04227) ΠΑΞΙΜΑΔΙ ΜΠΟΥΛΟΝΙΟΥ	101	01217
01218	FEBI	01218	FEBI ΦΛΑΝΤΖΑ ΤΑΠΑΣ ΛΑΔΙΟΥ OPEL	101	01218
01225	FEBI	01225	FEBI ΤΑΠΑ ΒΕΝΖΙΝΗΣ OPEL	101	01225
01226	FEBI	01226	FEBI ΚΑΠΑΚΙ ΡΕΖΕΡΒΟΥΑΡ ΚΑΥΣΙΜΟΥ OPEL	101	01226
01231	FEBI	01231	FEBI ΡΑΟΥΛΟ ΙΜΑΝΤΑ POLY-V VAG	101	01231
01238	FEBI	01238	FEBI ΒΑΣΗ ΕΞΑΤΜΙΣΗΣ VW	101	01238
01239	FEBI	01239	FEBI ΛΑΣΤΙΧΟ ΕΞΑΤΜΙΣΗΣ VAG	101	01239
01242	FEBI	01242	FEBI ΔΑΧΤΥΛΙΔΙ ΜΠΟΥΛΟΝΙΟΥ ΤΡΟΧΟΥ	101	01242
01243	FEBI	01243	FEBI ΔΑΧΤΥΛΙΔΙ ΜΠΟΥΛΟΝΙΟΥ ΤΡΟΧΟΥ MERCEDES	101	01243
01244	FEBI	01244	FEBI ΔΑΧΤΥΛΙΔΙ ΜΠΟΥΛΟΝΙΟΥ	101	01244
